Período;Deposito_Vista;Deposito_Poupanca;Deposito_Prazo
jan/22;86 650  ;154 715  ;241 444  
fev/22;71 732  ;155 440  ;236 024  
mar/22;62 217  ;154 582  ;240 181  
abr/22;72 909  ;154 863  ;247 263  
mai/22;69 073  ;156 330  ;256 357  
jun/22;74 337  ;158 865  ;262 533  
jul/22;61 352  ;162 827  ;268 926  
ago/22;66 800  ;162 349  ;273 356  
set/22;65 304  ;163 288  ;277 949  
out/22;66 333  ;164 584  ;281 175  
nov/22;57 540  ;165 590  ;284 667  
dez/22;69 586  ;168 634  ;291 734  
jan/23;65 751  ;168 219  ;295 964  
fev/23;56 856  ;168 226  ;298 512  
mar/23;73 198  ;170 186  ;306 826  
abr/23;73 383  ;171 852  ;314 134  
mai/23;61 801  ;172 771  ;316 488  
jun/23;60 458  ;193 537  ;323 367  
jul/23;47 206  ;194 764  ;334 913  
ago/23;53 864  ;194 231  ;340 734  
set/23;59 970  ;194 152  ;346 223  
out/23;47 172  ;192 799  ;356 682  
nov/23;53 850  ;192 700  ;357 062  
dez/23;58 015  ;194 582  ;362 809  
jan/24;46 620  ;194 462  ;365 692  
fev/24;61 668  ;195 594  ;362 958  
mar/24;64 513  ;194 789  ;371 127  
abr/24;49 116  ;195 203  ;382 187  
mai/24;72 104  ;189 746  ;386 012  
jun/24;66 495  ;192 518  ;396 129  
jul/24;61 599  ;194 340  ;408 846  
ago/24;64 641  ;195 033  ;414 329  
set/24;58 911  ;194 726  ;416 659  
out/24;61 043  ;195 170  ;419 493  
nov/24;62 423  ;195 475  ;427 388  
dez/24;63 787  ;196 762  ;433 144  
